                                             Level - 1 B,,,,,,26.8.2025
DateTime,6:30 - 7:30 AM,10:15 -11:15 ,"1:15 - 2:15 P,M",2:30 - 3:30 ,4:- 5,7: - 8
,,WEEKLY TEST,,,Essential ,
TUE,,,,,,
,,,,,?????,
,,,,,,
WED,Vocab In Use,Essential ,Oxford Primary,Headway,Headway,
,,,,,,
,?????,?????,???????,?????????,?????????,
,,,,,,
THUR,Vocab In Use,Grammar,"L,A Hill",Oxford Primary,Essential ,
,,,,,,
,?????,?????,?????????,???????,?????,
,,,,,,
FRI,Grammar,Preposition,"L,A Hill",writing,Preposition,
,,,,,,
,?????,?????????,?????????,?????,?????????,
,,,,,,
SAT,Pattern,Video Lesson,writing,Grammar,Pattern,Oral
,,,,,,
,?????????,?????????,?????,?????,?????????,
,,,,,,
SUN,Reading ,Tree or Three,Tree or Three,Grammar,Grammar,Presentation
,Comprehension,,,,,
,???????,?????????????????,?????????????????,?????,?????,
,,,,,,
