                                             Level - 3,,,,,,,,26.8.2025
DateTime,6:30 - 7:30 AM,8 - 9:30,10:15 -11:15 ,"1:15 - 2:15 P,M",2:30 - 3:30 ,4:- 5,5:30 - 6:30,7: - 8
TUE,,8:30 - 9:30,Idiom,( 2 - 2:45 ),( 3: - 4 ),( 4:30 - 5:30 ),,The Teaching
,,????????,,???????????,???????????,????,,
,,L3 + Teachers,, L3, L3,L2 + L3,,L2 + L3
,,KSW,KSW,Dr.???????????????,Dr.???????????????,Dr.???????????????,,Dr.???????????????
WED,The Teaching,8:30 - 9:30,The Teaching,????, ( 2:15 - 3:15 ),,Idiom,
,,????????,,,????,,,
,L2 + L3,L3 + Teachers,L2 + L3,L2 + L3,L2 + L3,,L3 + Teachers,
,Dr.???????????????,KSW,Dr.???????????????,Dr.???????????????,Dr.???????????????,,KSW,
THUR,,8:30 - 9:30,,Headway,Headway,Reading,Grammar,Reading
,,Spoken,,,,,,
,,L3 + Teachers,, L3, L3, L3,L3 + Teachers, L3
,,KSW,,???????,???????,???????,KSW,???????
FRI,Usage,Words 4000,Headway,IELTS ,IELTS ,,Grammar,
,,,,Writing,Writing,,,
, L3, L3, L3, L3, L3,,L3 + Teachers,
,???????,?????????,???????,?????????,?????????,,KSW,
SAT,,Academic,Academic,Academic,,,,
,,Writing,Writing,Writing,,,,
,, L3, L3, L3,,,,
,,??????????????????,??????????????????,??????????????????,,,,
SUN,,8:30 - 9:20,,,,,,Presentation
,,Spoken,,,,,,
,,L3 + Teachers,,,,,,
,,KSW,,,,,,
